id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
131535,SS 14 SUBANG JAYA BRAND NEW ROOMS TO LET! AFFORDABLE!!,1,1,0,499,5988,,FULL,ROOM,,,False,3.066354996158299,101.58639023415918,https://speedhome.com/reels/ss-14-subang-jaya-brand-new-rooms-to-let-affordable-jlbibnau
130805,Kelana Jaya SS7 Room To Let,1,1,1,600,7200,,FULL,ROOM,,,False,3.0904865,101.6029358,https://speedhome.com/reels/kelana-jaya-ss7-room-to-let-cchctlfj
125129,"Ritze Perdana 1, Damansara Perdana",1,1,1,1350,16200,382.0,FULL,HIGHRISE,,,False,3.16625,101.605,https://speedhome.com/reels/ritze-perdana-1-damansara-perdana-guehsdyb
122440,"Empire City Halo Sunday, Petaling Jaya",0,1,0,1350,16200,500.0,FULL,HIGHRISE,,,False,3.1681718,101.6152626,https://speedhome.com/reels/empire-city-halo-sunday-petaling-jaya-iofoaepv
119317,"BU 2, Petaling Jaya",1,1,0,550,6600,,FULL,ROOM,,,True,3.1430744,101.6115339,https://speedhome.com/reels/bu-2-petaling-jaya-fmlrjibp
116834,"Empire Damansara, Damansara Perdana",1,1,0,1100,13200,363.0,PARTIAL,HIGHRISE,,,False,3.1657335493,101.6121304035,https://speedhome.com/reels/empire-damansara-damansara-perdana-myzvbkbd
116665,Metropolitan Square Damansara Perdana 3r2b,3,2,2,2200,26400,1259.0,FULL,HIGHRISE,,,True,3.165488,101.610578,https://speedhome.com/reels/metropolitan-square-damansara-perdana-3r2b-taxsmksz
106293,"Tower M, Empire City",1,2,1,1500,18000,915.0,PARTIAL,HIGHRISE,,,True,3.169517260847828,101.61585443572048,https://speedhome.com/reels/tower-m-empire-city-lnpjbpgj
105843,"Flora Damansara, Damansara Perdana",3,2,0,1100,13200,850.0,NONE,HIGHRISE,,,False,3.176253,101.617398,https://speedhome.com/reels/flora-damansara-damansara-perdana-gniuizam
100536,"Ritze Perdana 2, Damansara Perdana",1,1,1,1550,18600,849.0,PARTIAL,HIGHRISE,,,False,3.164062,101.610661,https://speedhome.com/reels/ritze-perdana-2-damansara-perdana-vlmvfuos
91317,"Metropolitan Square, Petaling Jaya",3,2,2,2500,30000,1100.0,FULL,HIGHRISE,,,False,3.1661291,101.6080207,https://speedhome.com/reels/metropolitan-square-petaling-jaya-hafznciv
91311,"Empire City, Damansara Perdana",1,1,0,1400,16800,450.0,FULL,HIGHRISE,,,False,3.1683607776152236,101.61625597625971,https://speedhome.com/reels/empire-city-damansara-perdana-nxarkqxl
75678,"The Grand SOFO (PJ Grand SOFO) in Kelana Jaya, Petaling Jaya",1,1,0,2000,24000,400.0,FULL,HIGHRISE,,,False,3.1019044,101.5979325,https://speedhome.com/reels/kelana-grand-sofo-studio-kfqvcptu
18052,"My Loft Empire City, Petaling Jaya",1,1,1,2100,25200,768.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1677874949507023,101.6155443,https://speedhome.com/reels/my-loft-empire-city-petaling-jaya-rxpzcnuk
